               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  84,            0.030625,            0.016971,          0.00057192,             0.72983,             0.61063,              0.6432,             0.49254,            0.027508,            0.010241,          0.00081346,            0.001783,            0.001783,            0.001783
                  85,            0.030818,            0.016722,          0.00057341,             0.94044,             0.57825,             0.65615,             0.50236,            0.027362,            0.010246,          0.00080214,            0.001684,            0.001684,            0.001684
                  86,            0.030163,            0.016439,          0.00057485,             0.81749,             0.59186,             0.65471,             0.50415,            0.026907,            0.010262,          0.00089753,            0.001585,            0.001585,            0.001585
                  87,            0.029296,            0.016236,           0.0005238,             0.80382,             0.59083,             0.64487,             0.49495,            0.026972,            0.010293,          0.00088029,            0.001486,            0.001486,            0.001486
                  88,            0.029801,            0.016352,          0.00051774,             0.83545,             0.52885,             0.63132,             0.49354,            0.027081,            0.010315,          0.00085632,            0.001387,            0.001387,            0.001387
                  89,            0.029914,            0.016464,          0.00043427,             0.70201,             0.55057,              0.6008,             0.45557,            0.026863,             0.01028,          0.00088688,            0.001288,            0.001288,            0.001288
                  90,            0.030006,              0.0164,          0.00062857,             0.70211,             0.58258,             0.63776,             0.49797,            0.027156,            0.010321,          0.00077627,            0.001189,            0.001189,            0.001189
                  91,            0.029372,            0.016234,          0.00042649,             0.61781,             0.61088,             0.61555,             0.48861,             0.02717,            0.010353,          0.00079134,             0.00109,             0.00109,             0.00109
                  92,            0.029946,            0.016385,          0.00037185,             0.68969,             0.54378,             0.59943,             0.47479,            0.027485,            0.010382,          0.00087195,            0.000991,            0.000991,            0.000991
                  93,             0.02941,            0.016104,           0.0005205,             0.78596,             0.53014,             0.62621,              0.4977,            0.027386,            0.010347,          0.00090495,            0.000892,            0.000892,            0.000892
                  94,             0.02936,            0.016288,           0.0003516,             0.77543,             0.59787,             0.64668,             0.51578,            0.027348,            0.010379,          0.00087678,            0.000793,            0.000793,            0.000793
                  95,            0.029047,            0.016189,          0.00049533,             0.83808,             0.59104,             0.65022,             0.50543,            0.027306,             0.01033,           0.0009136,            0.000694,            0.000694,            0.000694
                  96,            0.029396,            0.016743,           0.0005056,             0.79261,             0.54071,             0.62438,             0.49121,            0.027322,            0.010282,          0.00086211,            0.000595,            0.000595,            0.000595
                  97,            0.029014,            0.016158,          0.00042296,             0.75271,             0.53867,             0.62022,              0.4889,            0.027432,            0.010262,          0.00088438,            0.000496,            0.000496,            0.000496
                  98,            0.028233,            0.015444,          0.00041959,             0.72582,             0.60503,             0.62355,             0.49067,            0.027416,            0.010242,          0.00089545,            0.000397,            0.000397,            0.000397
                  99,            0.028507,            0.015794,          0.00063797,             0.75433,             0.60556,             0.64844,             0.51477,            0.027444,            0.010213,           0.0008697,            0.000298,            0.000298,            0.000298
